Vocabulary Size:  27710
Total number of model parameters: 17.46M
| epoch   3 |  8000/15983 batches | lr 20.00 | ms/batch  4.47 | loss  4.96 | ppl   143.15
| epoch   3 |  8500/15983 batches | lr 20.00 | ms/batch  4.37 | loss  4.91 | ppl   136.07
| epoch   3 |  9000/15983 batches | lr 20.00 | ms/batch  4.34 | loss  4.87 | ppl   130.93
| epoch   3 |  9500/15983 batches | lr 20.00 | ms/batch  4.36 | loss  4.89 | ppl   132.73
| epoch   3 | 10000/15983 batches | lr 20.00 | ms/batch  4.36 | loss  4.87 | ppl   130.38
| epoch   3 | 10500/15983 batches | lr 20.00 | ms/batch  4.34 | loss  4.92 | ppl   136.94
| epoch   3 | 11000/15983 batches | lr 20.00 | ms/batch  4.37 | loss  4.92 | ppl   137.36
| epoch   3 | 11500/15983 batches | lr 20.00 | ms/batch  4.36 | loss  4.90 | ppl   133.65
| epoch   3 | 12000/15983 batches | lr 20.00 | ms/batch  4.34 | loss  4.90 | ppl   133.71
| epoch   3 | 12500/15983 batches | lr 20.00 | ms/batch  4.38 | loss  4.86 | ppl   128.78
| epoch   3 | 13000/15983 batches | lr 20.00 | ms/batch  4.37 | loss  4.88 | ppl   131.62
| epoch   3 | 13500/15983 batches | lr 20.00 | ms/batch  4.35 | loss  4.90 | ppl   134.39
| epoch   3 | 14000/15983 batches | lr 20.00 | ms/batch  4.35 | loss  4.92 | ppl   137.04
| epoch   3 | 14500/15983 batches | lr 20.00 | ms/batch  4.36 | loss  4.87 | ppl   130.18
| epoch   3 | 15000/15983 batches | lr 20.00 | ms/batch  4.35 | loss  4.86 | ppl   129.26
| epoch   3 | 15500/15983 batches | lr 20.00 | ms/batch  4.37 | loss  4.86 | ppl   128.41
-----------------------------------------------------------------------------------------
| end of epoch   3 | time: 70.52s | valid loss  5.08 | valid ppl   160.41
-----------------------------------------------------------------------------------------
| epoch   4 |   500/15983 batches | lr 20.00 | ms/batch  4.41 | loss  4.90 | ppl   134.26
| epoch   4 |  1000/15983 batches | lr 20.00 | ms/batch  4.37 | loss  4.90 | ppl   134.54
| epoch   4 |  1500/15983 batches | lr 20.00 | ms/batch  4.36 | loss  4.91 | ppl   136.16
| epoch   4 |  2000/15983 batches | lr 20.00 | ms/batch  4.37 | loss  4.85 | ppl   128.09
| epoch   4 |  2500/15983 batches | lr 20.00 | ms/batch  4.37 | loss  4.84 | ppl   126.61
| epoch   4 |  3000/15983 batches | lr 20.00 | ms/batch  4.35 | loss  4.88 | ppl   131.56
| epoch   4 |  3500/15983 batches | lr 20.00 | ms/batch  4.36 | loss  4.89 | ppl   133.59
| epoch   4 |  4000/15983 batches | lr 20.00 | ms/batch  4.36 | loss  4.89 | ppl   132.94
| epoch   4 |  4500/15983 batches | lr 20.00 | ms/batch  4.35 | loss  4.89 | ppl   133.53
| epoch   4 |  5000/15983 batches | lr 20.00 | ms/batch  4.36 | loss  4.90 | ppl   134.80
| epoch   4 |  5500/15983 batches | lr 20.00 | ms/batch  4.35 | loss  4.90 | ppl   133.85
| epoch   4 |  6000/15983 batches | lr 20.00 | ms/batch  4.35 | loss  4.91 | ppl   135.46
| epoch   4 |  6500/15983 batches | lr 20.00 | ms/batch  4.36 | loss  4.87 | ppl   130.91
| epoch   4 |  7000/15983 batches | lr 20.00 | ms/batch  4.38 | loss  4.88 | ppl   132.02
| epoch   4 |  7500/15983 batches | lr 20.00 | ms/batch  4.36 | loss  4.85 | ppl   128.09
| epoch   4 |  8000/15983 batches | lr 20.00 | ms/batch  4.39 | loss  4.92 | ppl   136.49
| epoch   4 |  8500/15983 batches | lr 20.00 | ms/batch  4.34 | loss  4.87 | ppl   130.43
| epoch   4 |  9000/15983 batches | lr 20.00 | ms/batch  4.35 | loss  4.84 | ppl   126.11
| epoch   4 |  9500/15983 batches | lr 20.00 | ms/batch  4.37 | loss  4.85 | ppl   127.60
| epoch   4 | 10000/15983 batches | lr 20.00 | ms/batch  4.36 | loss  4.83 | ppl   125.22
| epoch   4 | 10500/15983 batches | lr 20.00 | ms/batch  4.39 | loss  4.88 | ppl   131.60
| epoch   4 | 11000/15983 batches | lr 20.00 | ms/batch  4.36 | loss  4.88 | ppl   132.19
| epoch   4 | 11500/15983 batches | lr 20.00 | ms/batch  4.39 | loss  4.86 | ppl   128.67
| epoch   4 | 12000/15983 batches | lr 20.00 | ms/batch  4.50 | loss  4.86 | ppl   128.91
| epoch   4 | 12500/15983 batches | lr 20.00 | ms/batch  4.45 | loss  4.82 | ppl   124.36
| epoch   4 | 13000/15983 batches | lr 20.00 | ms/batch  4.36 | loss  4.84 | ppl   127.10
| epoch   4 | 13500/15983 batches | lr 20.00 | ms/batch  4.36 | loss  4.86 | ppl   129.51
| epoch   4 | 14000/15983 batches | lr 20.00 | ms/batch  4.36 | loss  4.88 | ppl   132.00
| epoch   4 | 14500/15983 batches | lr 20.00 | ms/batch  4.38 | loss  4.84 | ppl   126.20
| epoch   4 | 15000/15983 batches | lr 20.00 | ms/batch  4.39 | loss  4.83 | ppl   125.18
| epoch   4 | 15500/15983 batches | lr 20.00 | ms/batch  4.36 | loss  4.82 | ppl   124.11
-----------------------------------------------------------------------------------------
| end of epoch   4 | time: 70.39s | valid loss  5.06 | valid ppl   157.45
-----------------------------------------------------------------------------------------
| epoch   5 |   500/15983 batches | lr 20.00 | ms/batch  4.52 | loss  4.86 | ppl   129.21
| epoch   5 |  1000/15983 batches | lr 20.00 | ms/batch  4.43 | loss  4.86 | ppl   129.64
| epoch   5 |  1500/15983 batches | lr 20.00 | ms/batch  4.36 | loss  4.88 | ppl   131.23
| epoch   5 |  2000/15983 batches | lr 20.00 | ms/batch  4.34 | loss  4.82 | ppl   123.72
| epoch   5 |  2500/15983 batches | lr 20.00 | ms/batch  4.36 | loss  4.82 | ppl   123.41
| epoch   5 |  3000/15983 batches | lr 20.00 | ms/batch  4.37 | loss  4.85 | ppl   127.83
| epoch   5 |  3500/15983 batches | lr 20.00 | ms/batch  4.36 | loss  4.86 | ppl   129.59
| epoch   5 |  4000/15983 batches | lr 20.00 | ms/batch  4.35 | loss  4.86 | ppl   128.49
| epoch   5 |  4500/15983 batches | lr 20.00 | ms/batch  4.36 | loss  4.86 | ppl   129.50
| epoch   5 |  5000/15983 batches | lr 20.00 | ms/batch  4.37 | loss  4.87 | ppl   130.47
| epoch   5 |  5500/15983 batches | lr 20.00 | ms/batch  4.36 | loss  4.87 | ppl   130.28
| epoch   5 |  6000/15983 batches | lr 20.00 | ms/batch  4.37 | loss  4.88 | ppl   131.83
| epoch   5 |  6500/15983 batches | lr 20.00 | ms/batch  4.35 | loss  4.85 | ppl   127.43
| epoch   5 |  7000/15983 batches | lr 20.00 | ms/batch  4.39 | loss  4.86 | ppl   128.48
| epoch   5 |  7500/15983 batches | lr 20.00 | ms/batch  4.34 | loss  4.82 | ppl   124.36
| epoch   5 |  8000/15983 batches | lr 20.00 | ms/batch  4.34 | loss  4.88 | ppl   132.18
| epoch   5 |  8500/15983 batches | lr 20.00 | ms/batch  4.34 | loss  4.84 | ppl   126.91
| epoch   5 |  9000/15983 batches | lr 20.00 | ms/batch  4.36 | loss  4.81 | ppl   122.97
| epoch   5 |  9500/15983 batches | lr 20.00 | ms/batch  4.37 | loss  4.82 | ppl   124.30
| epoch   5 | 10000/15983 batches | lr 20.00 | ms/batch  4.41 | loss  4.81 | ppl   122.14
| epoch   5 | 10500/15983 batches | lr 20.00 | ms/batch  4.35 | loss  4.85 | ppl   128.34
| epoch   5 | 11000/15983 batches | lr 20.00 | ms/batch  4.38 | loss  4.86 | ppl   128.86
| epoch   5 | 11500/15983 batches | lr 20.00 | ms/batch  4.37 | loss  4.83 | ppl   125.53
| epoch   5 | 12000/15983 batches | lr 20.00 | ms/batch  4.35 | loss  4.83 | ppl   125.74
| epoch   5 | 12500/15983 batches | lr 20.00 | ms/batch  4.41 | loss  4.80 | ppl   121.48
| epoch   5 | 13000/15983 batches | lr 20.00 | ms/batch  4.37 | loss  4.82 | ppl   124.20
| epoch   5 | 13500/15983 batches | lr 20.00 | ms/batch  4.38 | loss  4.84 | ppl   126.50
| epoch   5 | 14000/15983 batches | lr 20.00 | ms/batch  4.37 | loss  4.86 | ppl   128.71
| epoch   5 | 14500/15983 batches | lr 20.00 | ms/batch  4.35 | loss  4.81 | ppl   123.32
| epoch   5 | 15000/15983 batches | lr 20.00 | ms/batch  4.38 | loss  4.81 | ppl   122.45
| epoch   5 | 15500/15983 batches | lr 20.00 | ms/batch  4.39 | loss  4.80 | ppl   121.23
-----------------------------------------------------------------------------------------
| end of epoch   5 | time: 70.34s | valid loss  5.05 | valid ppl   155.54
-----------------------------------------------------------------------------------------
| epoch   6 |   500/15983 batches | lr 20.00 | ms/batch  4.39 | loss  4.84 | ppl   126.34
| epoch   6 |  1000/15983 batches | lr 20.00 | ms/batch  4.36 | loss  4.84 | ppl   126.66
| epoch   6 |  1500/15983 batches | lr 20.00 | ms/batch  4.36 | loss  4.85 | ppl   127.98
| epoch   6 |  2000/15983 batches | lr 20.00 | ms/batch  4.35 | loss  4.80 | ppl   120.98
| epoch   6 |  2500/15983 batches | lr 20.00 | ms/batch  4.34 | loss  4.79 | ppl   120.70
| epoch   6 |  3000/15983 batches | lr 20.00 | ms/batch  4.35 | loss  4.83 | ppl   124.84
| epoch   6 |  3500/15983 batches | lr 20.00 | ms/batch  4.40 | loss  4.84 | ppl   127.10
| epoch   6 |  4000/15983 batches | lr 20.00 | ms/batch  4.40 | loss  4.84 | ppl   125.86
| epoch   6 |  4500/15983 batches | lr 20.00 | ms/batch  4.49 | loss  4.84 | ppl   126.83
