Vocabulary Size:  27710
Total number of model parameters: 25.09M
| epoch   3 | 12500/15983 batches | lr 20.00 | ms/batch  7.89 | loss  7.27 | ppl  1440.23
| epoch   3 | 13000/15983 batches | lr 20.00 | ms/batch  7.72 | loss  7.23 | ppl  1377.53
| epoch   3 | 13500/15983 batches | lr 20.00 | ms/batch  7.70 | loss  7.23 | ppl  1386.94
| epoch   3 | 14000/15983 batches | lr 20.00 | ms/batch  7.67 | loss  7.22 | ppl  1371.56
| epoch   3 | 14500/15983 batches | lr 20.00 | ms/batch  7.75 | loss  7.21 | ppl  1353.83
| epoch   3 | 15000/15983 batches | lr 20.00 | ms/batch  7.75 | loss  7.25 | ppl  1412.30
| epoch   3 | 15500/15983 batches | lr 20.00 | ms/batch  7.72 | loss  7.20 | ppl  1341.03
-----------------------------------------------------------------------------------------
| end of epoch   3 | time: 124.00s | valid loss  8.43 | valid ppl  4600.94
-----------------------------------------------------------------------------------------
| epoch   4 |   500/15983 batches | lr 5.00 | ms/batch  7.65 | loss  6.58 | ppl   724.11
| epoch   4 |  1000/15983 batches | lr 5.00 | ms/batch  7.78 | loss  6.59 | ppl   728.79
| epoch   4 |  1500/15983 batches | lr 5.00 | ms/batch  7.64 | loss  6.63 | ppl   754.10
| epoch   4 |  2000/15983 batches | lr 5.00 | ms/batch  7.65 | loss  6.55 | ppl   697.25
| epoch   4 |  2500/15983 batches | lr 5.00 | ms/batch  7.66 | loss  6.49 | ppl   655.59
| epoch   4 |  3000/15983 batches | lr 5.00 | ms/batch  7.64 | loss  6.57 | ppl   710.60
| epoch   4 |  3500/15983 batches | lr 5.00 | ms/batch  7.72 | loss  6.58 | ppl   720.87
| epoch   4 |  4000/15983 batches | lr 5.00 | ms/batch  7.63 | loss  6.62 | ppl   746.62
| epoch   4 |  4500/15983 batches | lr 5.00 | ms/batch  7.67 | loss  6.63 | ppl   755.41
| epoch   4 |  5000/15983 batches | lr 5.00 | ms/batch  7.62 | loss  6.63 | ppl   759.44
| epoch   4 |  5500/15983 batches | lr 5.00 | ms/batch  7.63 | loss  6.60 | ppl   735.95
| epoch   4 |  6000/15983 batches | lr 5.00 | ms/batch  7.65 | loss  6.61 | ppl   741.05
