Vocabulary Size:  27710
Total number of model parameters: 5.81M
| epoch   6 |  5000/15983 batches | lr 1.25 | ms/batch  8.15 | loss  6.60 | ppl   731.98
| epoch   6 |  5500/15983 batches | lr 1.25 | ms/batch  7.81 | loss  6.57 | ppl   710.62
| epoch   6 |  6000/15983 batches | lr 1.25 | ms/batch  7.49 | loss  6.57 | ppl   713.57
| epoch   6 |  6500/15983 batches | lr 1.25 | ms/batch  7.86 | loss  6.54 | ppl   689.27
| epoch   6 |  7000/15983 batches | lr 1.25 | ms/batch  7.53 | loss  6.55 | ppl   701.34
| epoch   6 |  7500/15983 batches | lr 1.25 | ms/batch  7.68 | loss  6.53 | ppl   686.71
| epoch   6 |  8000/15983 batches | lr 1.25 | ms/batch  7.86 | loss  6.58 | ppl   720.92
| epoch   6 |  8500/15983 batches | lr 1.25 | ms/batch  8.30 | loss  6.53 | ppl   683.04
| epoch   6 |  9000/15983 batches | lr 1.25 | ms/batch  8.27 | loss  6.50 | ppl   663.85
| epoch   6 |  9500/15983 batches | lr 1.25 | ms/batch  8.30 | loss  6.52 | ppl   679.76
| epoch   6 | 10000/15983 batches | lr 1.25 | ms/batch  8.12 | loss  6.54 | ppl   690.41
| epoch   6 | 10500/15983 batches | lr 1.25 | ms/batch  8.30 | loss  6.55 | ppl   698.61
| epoch   6 | 11000/15983 batches | lr 1.25 | ms/batch  8.01 | loss  6.52 | ppl   681.05
| epoch   6 | 11500/15983 batches | lr 1.25 | ms/batch  8.20 | loss  6.53 | ppl   683.75
| epoch   6 | 12000/15983 batches | lr 1.25 | ms/batch  7.62 | loss  6.50 | ppl   665.91
| epoch   6 | 12500/15983 batches | lr 1.25 | ms/batch  7.94 | loss  6.48 | ppl   649.24
| epoch   6 | 13000/15983 batches | lr 1.25 | ms/batch  7.58 | loss  6.51 | ppl   670.34
| epoch   6 | 13500/15983 batches | lr 1.25 | ms/batch  7.45 | loss  6.53 | ppl   686.57
| epoch   6 | 14000/15983 batches | lr 1.25 | ms/batch  7.51 | loss  6.55 | ppl   702.59
| epoch   6 | 14500/15983 batches | lr 1.25 | ms/batch  7.71 | loss  6.47 | ppl   647.02
| epoch   6 | 15000/15983 batches | lr 1.25 | ms/batch  7.52 | loss  6.46 | ppl   636.76
| epoch   6 | 15500/15983 batches | lr 1.25 | ms/batch  7.56 | loss  6.48 | ppl   654.89
-----------------------------------------------------------------------------------------
| end of epoch   6 | time: 125.03s | valid loss  6.60 | valid ppl   738.22
-----------------------------------------------------------------------------------------
=========================================================================================
| End of training | test loss  6.64 | test ppl   764.22
=========================================================================================
