Vocabulary Size:  27710
Total number of model parameters: 23.16M
| epoch   4 |  3000/15983 batches | lr 1.25 | ms/batch  6.81 | loss   nan | ppl      nan
| epoch   4 |  3500/15983 batches | lr 1.25 | ms/batch  7.68 | loss   nan | ppl      nan
| epoch   4 |  4000/15983 batches | lr 1.25 | ms/batch  7.43 | loss   nan | ppl      nan
| epoch   4 |  4500/15983 batches | lr 1.25 | ms/batch  6.86 | loss   nan | ppl      nan
| epoch   4 |  5000/15983 batches | lr 1.25 | ms/batch  7.01 | loss   nan | ppl      nan
| epoch   4 |  5500/15983 batches | lr 1.25 | ms/batch  6.90 | loss   nan | ppl      nan
| epoch   4 |  6000/15983 batches | lr 1.25 | ms/batch  6.55 | loss   nan | ppl      nan
| epoch   4 |  6500/15983 batches | lr 1.25 | ms/batch  6.50 | loss   nan | ppl      nan
| epoch   4 |  7000/15983 batches | lr 1.25 | ms/batch  6.48 | loss   nan | ppl      nan
| epoch   4 |  7500/15983 batches | lr 1.25 | ms/batch  6.49 | loss   nan | ppl      nan
| epoch   4 |  8000/15983 batches | lr 1.25 | ms/batch  6.51 | loss   nan | ppl      nan
| epoch   4 |  8500/15983 batches | lr 1.25 | ms/batch  6.51 | loss   nan | ppl      nan
| epoch   4 |  9000/15983 batches | lr 1.25 | ms/batch  6.47 | loss   nan | ppl      nan
| epoch   4 |  9500/15983 batches | lr 1.25 | ms/batch  6.94 | loss   nan | ppl      nan
| epoch   4 | 10000/15983 batches | lr 1.25 | ms/batch  7.33 | loss   nan | ppl      nan
| epoch   4 | 10500/15983 batches | lr 1.25 | ms/batch  7.07 | loss   nan | ppl      nan
| epoch   4 | 11000/15983 batches | lr 1.25 | ms/batch  6.87 | loss   nan | ppl      nan
| epoch   4 | 11500/15983 batches | lr 1.25 | ms/batch  6.62 | loss   nan | ppl      nan
| epoch   4 | 12000/15983 batches | lr 1.25 | ms/batch  6.65 | loss   nan | ppl      nan
| epoch   4 | 12500/15983 batches | lr 1.25 | ms/batch  6.71 | loss   nan | ppl      nan
| epoch   4 | 13000/15983 batches | lr 1.25 | ms/batch  6.84 | loss   nan | ppl      nan
| epoch   4 | 13500/15983 batches | lr 1.25 | ms/batch  6.55 | loss   nan | ppl      nan
| epoch   4 | 14000/15983 batches | lr 1.25 | ms/batch  7.60 | loss   nan | ppl      nan
| epoch   4 | 14500/15983 batches | lr 1.25 | ms/batch  7.23 | loss   nan | ppl      nan
| epoch   4 | 15000/15983 batches | lr 1.25 | ms/batch  7.00 | loss   nan | ppl      nan
| epoch   4 | 15500/15983 batches | lr 1.25 | ms/batch  6.50 | loss   nan | ppl      nan
-----------------------------------------------------------------------------------------
| end of epoch   4 | time: 110.04s | valid loss   nan | valid ppl      nan
-----------------------------------------------------------------------------------------
| epoch   5 |   500/15983 batches | lr 0.31 | ms/batch  6.50 | loss   nan | ppl      nan
| epoch   5 |  1000/15983 batches | lr 0.31 | ms/batch  6.49 | loss   nan | ppl      nan
| epoch   5 |  1500/15983 batches | lr 0.31 | ms/batch  6.48 | loss   nan | ppl      nan
| epoch   5 |  2000/15983 batches | lr 0.31 | ms/batch  6.66 | loss   nan | ppl      nan
| epoch   5 |  2500/15983 batches | lr 0.31 | ms/batch  6.60 | loss   nan | ppl      nan
| epoch   5 |  3000/15983 batches | lr 0.31 | ms/batch  6.53 | loss   nan | ppl      nan
| epoch   5 |  3500/15983 batches | lr 0.31 | ms/batch  6.74 | loss   nan | ppl      nan
| epoch   5 |  4000/15983 batches | lr 0.31 | ms/batch  6.50 | loss   nan | ppl      nan
| epoch   5 |  4500/15983 batches | lr 0.31 | ms/batch  6.49 | loss   nan | ppl      nan
| epoch   5 |  5000/15983 batches | lr 0.31 | ms/batch  6.49 | loss   nan | ppl      nan
| epoch   5 |  5500/15983 batches | lr 0.31 | ms/batch  6.55 | loss   nan | ppl      nan
| epoch   5 |  6000/15983 batches | lr 0.31 | ms/batch  6.54 | loss   nan | ppl      nan
| epoch   5 |  6500/15983 batches | lr 0.31 | ms/batch  6.51 | loss   nan | ppl      nan
| epoch   5 |  7000/15983 batches | lr 0.31 | ms/batch  6.50 | loss   nan | ppl      nan
| epoch   5 |  7500/15983 batches | lr 0.31 | ms/batch  6.56 | loss   nan | ppl      nan
| epoch   5 |  8000/15983 batches | lr 0.31 | ms/batch  6.55 | loss   nan | ppl      nan
| epoch   5 |  8500/15983 batches | lr 0.31 | ms/batch  7.43 | loss   nan | ppl      nan
| epoch   5 |  9000/15983 batches | lr 0.31 | ms/batch  7.33 | loss   nan | ppl      nan
