We are using cuda:1
In train stage: data size: torch.Size([40, 1, 28, 28])
In test stage: data size: torch.Size([40, 1, 28, 28])
Train batch num: 1500, test batch num: 250
   Iter[700] loss:7363.6875, rec loss:6768.9375, kl loss:594.749755859375
   Iter[800] loss:7030.6806640625, rec loss:6516.2216796875, kl loss:514.458740234375
   Iter[900] loss:6565.5283203125, rec loss:5999.6982421875, kl loss:565.830078125
   Iter[1000] loss:6732.71142578125, rec loss:6171.70849609375, kl loss:561.0028076171875
   Iter[1100] loss:7107.8955078125, rec loss:6570.0849609375, kl loss:537.810546875
   Iter[1200] loss:7077.95068359375, rec loss:6548.8193359375, kl loss:529.1312255859375
   Iter[1300] loss:6968.09228515625, rec loss:6399.6025390625, kl loss:568.48974609375
   Iter[1400] loss:6791.55078125, rec loss:6222.427734375, kl loss:569.1228637695312
   Iter[1500] loss:6889.2919921875, rec loss:6329.46875, kl loss:559.822998046875
>> Epoch[7]: loss: 6948.050876953125
   Iter[100] loss:7156.76025390625, rec loss:6635.89453125, kl loss:520.86572265625
   Iter[200] loss:6846.4697265625, rec loss:6325.396484375, kl loss:521.073486328125
   Iter[300] loss:6614.57666015625, rec loss:6088.96484375, kl loss:525.6119384765625
   Iter[400] loss:6516.7890625, rec loss:5957.80615234375, kl loss:558.9830322265625
   Iter[500] loss:7243.81396484375, rec loss:6750.283203125, kl loss:493.5306396484375
   Iter[600] loss:6720.7109375, rec loss:6183.77587890625, kl loss:536.934814453125
   Iter[700] loss:6889.83203125, rec loss:6369.2734375, kl loss:520.5584716796875
   Iter[800] loss:6932.72265625, rec loss:6309.66748046875, kl loss:623.0549926757812
   Iter[900] loss:6343.27587890625, rec loss:5810.7158203125, kl loss:532.5599975585938
   Iter[1000] loss:6661.2509765625, rec loss:6137.9033203125, kl loss:523.347900390625
   Iter[1100] loss:6731.04443359375, rec loss:6176.5078125, kl loss:554.5367431640625
   Iter[1200] loss:6037.00537109375, rec loss:5463.552734375, kl loss:573.4524536132812
   Iter[1300] loss:6981.67333984375, rec loss:6450.94287109375, kl loss:530.7305908203125
   Iter[1400] loss:6381.037109375, rec loss:5793.0888671875, kl loss:587.9482421875
   Iter[1500] loss:6903.51708984375, rec loss:6342.6640625, kl loss:560.8532104492188
>> Epoch[8]: loss: 6762.217944010416
   Iter[100] loss:6965.57568359375, rec loss:6447.95703125, kl loss:517.6185302734375
   Iter[200] loss:6792.525390625, rec loss:6212.04638671875, kl loss:580.478759765625
   Iter[300] loss:6734.146484375, rec loss:6145.8671875, kl loss:588.279052734375
   Iter[400] loss:6999.1025390625, rec loss:6470.11767578125, kl loss:528.985107421875
   Iter[500] loss:6595.87060546875, rec loss:6043.638671875, kl loss:552.23193359375
   Iter[600] loss:6454.900390625, rec loss:5942.4013671875, kl loss:512.4988403320312
   Iter[700] loss:6430.34326171875, rec loss:5906.6962890625, kl loss:523.6467895507812
   Iter[800] loss:6823.0322265625, rec loss:6274.1904296875, kl loss:548.842041015625
   Iter[900] loss:6638.10107421875, rec loss:6127.77197265625, kl loss:510.3289794921875
   Iter[1000] loss:6601.76416015625, rec loss:6061.462890625, kl loss:540.3010864257812
   Iter[1100] loss:6985.240234375, rec loss:6458.59521484375, kl loss:526.6449584960938
   Iter[1200] loss:6396.375, rec loss:5851.7314453125, kl loss:544.6436767578125
   Iter[1300] loss:6692.97314453125, rec loss:6127.95556640625, kl loss:565.017578125
   Iter[1400] loss:6678.3818359375, rec loss:6136.62451171875, kl loss:541.7572631835938
   Iter[1500] loss:6829.2578125, rec loss:6274.41796875, kl loss:554.83984375
>> Epoch[9]: loss: 6631.340965820313
   Iter[100] loss:6206.498046875, rec loss:5679.486328125, kl loss:527.0118408203125
   Iter[200] loss:6585.43994140625, rec loss:5955.40478515625, kl loss:630.0350952148438
   Iter[300] loss:6835.798828125, rec loss:6294.4580078125, kl loss:541.3410034179688
   Iter[400] loss:6844.1865234375, rec loss:6266.4716796875, kl loss:577.7149658203125
   Iter[500] loss:6662.2255859375, rec loss:6090.2783203125, kl loss:571.947509765625
   Iter[600] loss:6208.8798828125, rec loss:5614.4921875, kl loss:594.3875732421875
   Iter[700] loss:6744.638671875, rec loss:6217.74267578125, kl loss:526.8959350585938
   Iter[800] loss:6585.412109375, rec loss:6002.2744140625, kl loss:583.137451171875
   Iter[900] loss:6508.0908203125, rec loss:5957.693359375, kl loss:550.3973388671875
   Iter[1000] loss:5819.0517578125, rec loss:5223.1494140625, kl loss:595.9022216796875
   Iter[1100] loss:6605.78076171875, rec loss:6074.91943359375, kl loss:530.861328125
   Iter[1200] loss:6440.41796875, rec loss:5841.5068359375, kl loss:598.9110717773438
   Iter[1300] loss:6668.712890625, rec loss:6121.38232421875, kl loss:547.330810546875
   Iter[1400] loss:6747.4892578125, rec loss:6203.81494140625, kl loss:543.674560546875
   Iter[1500] loss:6702.41357421875, rec loss:6127.521484375, kl loss:574.8922119140625
>> Epoch[10]: loss: 6542.15656640625
   Iter[100] loss:6289.3173828125, rec loss:5740.8896484375, kl loss:548.4275512695312
   Iter[200] loss:6486.689453125, rec loss:5916.7451171875, kl loss:569.944580078125
   Iter[300] loss:6890.51416015625, rec loss:6344.2109375, kl loss:546.3033447265625
   Iter[400] loss:6062.89697265625, rec loss:5448.99853515625, kl loss:613.8984375
   Iter[500] loss:6398.18603515625, rec loss:5828.6826171875, kl loss:569.5032958984375
   Iter[600] loss:6593.50732421875, rec loss:6053.484375, kl loss:540.0230102539062
   Iter[700] loss:6494.5927734375, rec loss:5937.21826171875, kl loss:557.374755859375
   Iter[800] loss:6559.1728515625, rec loss:5948.5, kl loss:610.672607421875
   Iter[900] loss:6472.03515625, rec loss:5841.21923828125, kl loss:630.815673828125
   Iter[1000] loss:6769.353515625, rec loss:6182.43359375, kl loss:586.9199829101562
   Iter[1100] loss:6853.87353515625, rec loss:6271.9677734375, kl loss:581.9056396484375
   Iter[1200] loss:6672.78759765625, rec loss:6122.3671875, kl loss:550.4205322265625
   Iter[1300] loss:6845.10986328125, rec loss:6314.1748046875, kl loss:530.9351806640625
   Iter[1400] loss:6216.48681640625, rec loss:5644.79248046875, kl loss:571.6943359375
   Iter[1500] loss:6791.04443359375, rec loss:6196.10888671875, kl loss:594.935546875
>> Epoch[11]: loss: 6472.809112955729
   Iter[100] loss:6541.28076171875, rec loss:5977.1181640625, kl loss:564.1624755859375
   Iter[200] loss:6680.814453125, rec loss:6100.2548828125, kl loss:580.559326171875
   Iter[300] loss:6402.49853515625, rec loss:5799.943359375, kl loss:602.5552368164062
   Iter[400] loss:6598.5712890625, rec loss:6068.09912109375, kl loss:530.4720458984375
   Iter[500] loss:6467.9736328125, rec loss:5880.76953125, kl loss:587.203857421875
   Iter[600] loss:6306.9111328125, rec loss:5683.89990234375, kl loss:623.0110473632812
